protein_mention_id,doi,name,abbreviation,species_or_source,role,uniprot_query,reported_mw_kDa,reported_pI,value_origin,source_database,match_status,qa_status,qa_note,uniprot_accession,uniprot_id,protein_full_name,organism,sequence_length,molecular_mass_Da,sequence_available,result_count
2306,10.1021/acsbiomaterials.3c01386,purified human IgG,IgG,human,target antibody used to test hydrogel bead binding ability,human immunoglobulin G,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2307,10.1021/acsbiomaterials.3c01386,hybridoma-secreted monoclonal antibody,mAb,Hybridoma S3D8_Spike cell,secreted target antibody captured in HBs,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2308,10.1021/acsbiomaterials.3c01386,protein G-C,pG-C,,immobilized IgG-binding affinity module,protein G immunoglobulin-binding protein,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2309,10.1021/acsbiomaterials.3c01386,protein M-C,pM-C,,immobilized antibody-binding affinity module,protein M immunoglobulin-binding protein,50.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2310,10.1021/acsbiomaterials.3c01386,protein L-HRP,pL-HRP,,detection conjugate for captured antibody,protein L immunoglobulin-binding protein,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2311,10.1021/acsbiomaterials.3c01386,horseradish peroxidase,HRP,horseradish,hydrogelation enzyme and detection enzyme in pL-HRP conjugate,horseradish peroxidase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2312,10.1021/acsbiomaterials.3c01386,human IL-6 recombinant protein,IL-6,human recombinant,cell culture supplement,human interleukin-6,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2313,10.1021/acsbiomedchemau.3c00001,bovine serum albumin,BSA,bovine,encapsulation target; conjugation target,bovine serum albumin,66.0,4.7,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2314,10.1021/acsbiomedchemau.3c00001,avidin,avidin,,encapsulation target,avidin,67.0,10.5,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2315,10.1021/acsbiomedchemau.3c00001,immunoglobulin G,IgG,,encapsulation target; antibody example,immunoglobulin G,150.0,6.5,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2316,10.1021/acsbiomedchemau.3c00001,glucose oxidase,GOx,,encapsulation target; enzyme,glucose oxidase,160.0,4.2,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2317,10.1021/acsbiomedchemau.3c00001,phenylalanine ammonia lyase,PAL,,encapsulation target; enzyme,phenylalanine ammonia lyase,330.0,5.4,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2318,10.1021/acs.biomac.7b00587,bevacizumab,,"Avastin, Roche Ltd.",model antibody and released therapeutic antibody,bevacizumab,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2319,10.1021/acs.biomac.7b00587,vascular endothelial growth factor,VEGF,,binding target in ELISA,VEGF,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2320,10.1021/acs.biomac.7b00587,fetal calf serum,FCS,fetal calf serum,cell culture medium supplement,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2321,10.1021/acs.biomac.7b00587,immunoglobulin G,IgG,,potential comparable biopharmaceutical,immunoglobulin G,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2322,10.1016/j.polymer.2005.07.091,lysozyme,,chicken egg white,protein adsorbate; high-molecular-weight ligand,chicken egg white lysozyme Gallus gallus,14.4,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2323,10.1002/chem.200500666,alkaline phosphatase,AP,calf intestine,hydrolytic enzyme analyte,alkaline phosphatase calf intestine,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2324,10.1002/chem.200500666,beta-glucosidase,beta-Glc,almonds,hydrolytic enzyme analyte,beta-glucosidase almond,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2325,10.1002/chem.200500666,beta-galactosidase,beta-Gal,E. coli,hydrolytic enzyme analyte,beta-galactosidase Escherichia coli lacZ,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2326,10.1002/chem.200500666,thrombin,Throm,human plasma,hydrolytic enzyme analyte,human thrombin F2,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2327,10.1002/chem.200500666,trypsin,Tryp,bovine pancreas,hydrolytic enzyme analyte,bovine trypsin pancreas,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2328,10.1002/chem.200500666,chymotrypsin,Chym,bovine pancreas,hydrolytic enzyme analyte,bovine chymotrypsin pancreas,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2329,10.1002/chem.200500666,lysyl endopeptidase,LEP,Achromobacter lyticus,hydrolytic enzyme analyte,lysyl endopeptidase Achromobacter lyticus,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2330,10.1002/chem.200500666,V8 protease,V8,Staphylococcus aureus,hydrolytic enzyme analyte,Staphylococcus aureus V8 protease glutamyl endopeptidase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2331,10.1002/chem.200500666,albumin,BSA,bovine serum,negative protein control,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2332,10.1002/chem.200500666,soy-bean trypsin inhibitor,SBTI,soybean,protein-based trypsin inhibitor,soybean trypsin inhibitor,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2333,10.1002/chem.200500666,lima-bean trypsin inhibitor,LBTI,lima bean,protein-based trypsin inhibitor,lima bean trypsin inhibitor,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2334,10.1002/bit.20210,cytochrome C,,,test protein,cytochrome C,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2335,10.1002/bit.20210,hemoglobin,,,test protein,hemoglobin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2336,10.1002/bit.20210,lysozyme,,,immobilized receptor / affinity crosslink component,lysozyme,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2337,10.1021/acs.biomac.3c01088,bovine serum albumin,BSA,bovine serum,model protein for nonspecific adsorption and antifouling assay,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2338,10.1021/acs.biomac.3c01088,lysozyme,,egg white,model protein for nonspecific adsorption and electrostatic adsorption comparison,egg white lysozyme,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2339,10.1021/acs.biomac.3c01088,hyaluronidase,HAase,bovine testicles,"enzyme used for hydrogel degradation testing, not adsorption target",bovine hyaluronidase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2340,10.1016/j.xphs.2025.103822,mucin,,not specified; Sigma Aldrich,artificial protein solution component and dominant rabbit tear-fluid protein model,mucin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2341,10.1016/j.xphs.2025.103822,lysozyme,,chicken egg,artificial protein solution component and dominant rabbit tear-fluid protein model,chicken lysozyme C,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2342,10.1016/j.xphs.2025.103822,bovine serum albumin,BSA,bovine,artificial protein solution component; albumin noted as present in aqueous and vitreous humour,bovine serum albumin ALB,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2343,10.1016/j.xphs.2025.103822,albumin,,rabbit ocular fluids,dominant protein noted in aqueous humour and vitreous humour,rabbit albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2344,10.1016/j.xphs.2025.103822,rabbit aqueous humour proteins,AH proteins,New Zealand albino rabbit aqueous humour,ex vivo protein matrix,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2345,10.1016/j.xphs.2025.103822,rabbit vitreous humour proteins,VH proteins,New Zealand albino rabbit vitreous humour,ex vivo protein matrix,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2346,10.1002/app.41041,bovine serum albumin,BSA,bovine,model protein for hydrogel adsorption/fouling assay,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2347,10.1016/j.carbpol.2021.118498,lysozyme,,chicken egg white for CEW experiments; reagent source otherwise not specified,main target/model protein,chicken lysozyme,14.7,10.8,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2348,10.1016/j.carbpol.2021.118498,papain,,not specified,positively charged reference protein,papain,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2349,10.1016/j.carbpol.2021.118498,bovine serum albumin,BSA,bovine,negative-charge reference protein,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2350,10.1016/j.carbpol.2021.118498,ovalbumin,,not specified,negative-charge reference protein,ovalbumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2351,10.1016/j.carbpol.2021.118498,pepsin,,not specified,negative-charge reference protein,pepsin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2352,10.1016/j.carbpol.2021.118498,chicken egg white protein mixture,CEW,fresh chicken eggs,complex feedstream matrix,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2353,10.1016/j.jchromb.2015.09.034,human serum albumin,HSA,human plasma or serum,target protein; template; depletion target,human serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2354,10.1016/j.jchromb.2015.09.034,ovalbumin,OB,egg white,target glycoprotein; template,ovalbumin chicken,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2355,10.1016/j.jchromb.2015.09.034,human immunoglobulin G,hIgG or IgG,human plasma or serum,target antibody,human immunoglobulin G,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2356,10.1016/j.jchromb.2015.09.034,Fc fragment of human IgG,Fc,human IgG,template molecule,human IgG Fc fragment,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2357,10.1016/j.jchromb.2015.09.034,hemoglobin,Hb,human hemolysate or human blood,target protein; template; depletion target,human hemoglobin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2358,10.1016/j.jchromb.2015.09.034,microalbumin,,urine samples,target biomarker,human albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2359,10.1016/j.jchromb.2015.09.034,lysozyme,,hen or chicken egg white,target enzyme,chicken lysozyme,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2360,10.1016/j.jchromb.2015.09.034,myoglobin,,human plasma,target protein and competitor in hemoglobin study,human myoglobin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2361,10.1016/j.jchromb.2015.09.034,carbonic anhydrase,,bovine erythrocytes,target enzyme,bovine carbonic anhydrase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2362,10.1016/j.jchromb.2015.09.034,albumin,,human plasma or serum,target or competitor protein,human serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2363,10.1016/j.jchromb.2015.09.034,lipase,,Yarrowia lipolytica cell extract,target enzyme,Yarrowia lipolytica lipase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2364,10.1016/j.jchromb.2015.09.034,invertase,,,target glycoenzyme,invertase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2365,10.1016/j.jchromb.2015.09.034,concanavalin A,Con A,Canavalia ensiformis,affinity ligand and also purification target in another study,concanavalin A Canavalia ensiformis,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2366,10.1016/j.jchromb.2015.09.034,interferon alpha-2b,hIFN-alpha-2b,human gingival fibroblast culture,target protein and template,human interferon alpha-2b,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2367,10.1016/j.jchromb.2015.09.034,anti-HBs antibody,anti-HBs,plasma,target antibody and template,anti-HBs antibody,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2368,10.1016/j.jchromb.2015.09.034,total anti-HAV,anti-HAV,,competitor antibody,anti-HAV antibody,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2369,10.1016/j.jchromb.2015.09.034,total IgE,IgE,,competitor antibody,human immunoglobulin E,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2370,10.1016/j.jchromb.2015.09.034,antithrombin III,ATIII,blood or plasma,non-target protein adsorption marker,human antithrombin III,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2371,10.1016/j.memsci.2020.118732,lysozyme,Lys,chicken egg white,smaller protein separation target and standard protein for nonspecific adsorption evaluation,chicken egg white lysozyme,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2372,10.1016/j.memsci.2020.118732,bovine serum albumin,BSA,bovine,larger protein separation target,bovine serum albumin,66.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2373,10.1021/ac501039j,avidin,,,encapsulated affinity ligand and protein immobilization target,avidin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2374,10.1021/ac501039j,two fluorescent proteins with different isoelectric points,,,qualitative demonstration of protein immobilization in microscale channels,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2375,10.1016/j.jhazmat.2025.139486,gelatin,GE,,"hydrogel constituent, not adsorption target",,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2376,10.1016/j.jhazmat.2025.139486,superoxide dismutase,SOD,,"radical scavenger control in phenolic degradation experiment, not adsorption target",superoxide dismutase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2377,10.1016/j.jhazmat.2025.139486,laccase,,natural laccase comparator,"enzyme comparator for nanozyme activity, not adsorption target",laccase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2378,10.1016/j.jhazmat.2025.139486,peroxidase,,natural peroxidase comparator,"enzyme comparator for nanozyme activity, not adsorption target",peroxidase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2379,10.1016/j.jmbbm.2024.106825,bovine serum albumin,BSA,bovine; Sigma Aldrich,adsorbate protein and lubricant-related interfacial protein,bovine serum albumin Bos taurus,66.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2380,10.1016/j.jmbbm.2024.106825,alpha-2 macroglobulin,,,literature background protein affected by TA,alpha-2-macroglobulin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2381,10.1016/j.jmbbm.2024.106825,soy protein isolate,,soy,literature background protein affected by TA,soy protein isolate,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2382,10.1016/j.jmbbm.2024.106825,albumin,,,synovial-fluid-relevant protein class discussed in background,albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2383,10.1016/j.jmbbm.2024.106825,globulin,,,synovial-fluid-relevant protein class discussed in background,globulin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2384,10.1021/la101542m,fibrinogen,,,adsorbed protein target,fibrinogen,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2385,10.1021/la101542m,HRP-conjugated antifibrinogen,,,ELISA detection reagent,anti-fibrinogen antibody horseradish peroxidase conjugate,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2386,10.1002/app.39816,bovine serum albumin,BSA,bovine,model protein for low-fouling adsorption assay,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2387,10.1002/app.39816,fibrinogen,,,literature example in introduction,fibrinogen,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2388,10.1002/app.39816,albumin,,,literature example in introduction,albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2389,10.1002/app.25500,fibrinogen,Fg,,adsorption target protein,fibrinogen,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2390,10.1021/la048651m,bovine serum albumin,BSA,bovine,amine amplification protein and physisorption control protein,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2391,10.1021/la048651m,laminin,Ln,,target probe protein patterned on hydrogel pad,laminin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2392,10.1021/la048651m,fibronectin,Fn,,target probe protein patterned on hydrogel pad,fibronectin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2393,10.1021/la048651m,anti-rabbit laminin antibody,,,primary antibody for laminin detection,anti-rabbit laminin antibody,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2394,10.1021/la048651m,anti-human fibronectin antibody,,,primary antibody for fibronectin detection,anti-human fibronectin antibody,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2395,10.1021/la048651m,normal donkey serum,NDS,donkey,blocking reagent,normal donkey serum,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2396,10.1021/la048651m,donkey anti-rabbit IgG-FITC,,donkey,secondary antibody for laminin detection,donkey anti-rabbit IgG,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2397,10.1021/la048651m,donkey anti-human IgG-TR,,donkey,secondary antibody for fibronectin detection,donkey anti-human IgG,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2398,10.1021/bm700854j,bovine serum albumin,BSA; FITC-BSA,bovine,model protein drug for encapsulation and release,bovine serum albumin,66.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2399,10.1021/bm700854j,hyaluronidase,,,enzyme used to trigger HA degradation and accelerate FITC-BSA release,hyaluronidase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2400,10.1021/acssuschemeng.6b01674,bovine serum albumin,BSA,bovine,"nanocluster-protecting protein and hydrogel composite component, not an adsorbed protein target",bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2401,10.1021/ja901600e,trypsin,,,"template protein, target protein, enzyme inhibited by MIP",trypsin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2402,10.1021/ja901600e,cytochrome c,,,selectivity comparator protein,cytochrome c,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2403,10.1021/ja901600e,RNase A,RNase A,,selectivity comparator protein,ribonuclease A,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2404,10.1021/ja901600e,lysozyme,,,selectivity comparator protein,lysozyme,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2405,10.1021/ja901600e,myoglobin,,,selectivity comparator protein,myoglobin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2406,10.1021/ja901600e,chymotrypsin,,,selectivity comparator protein and enzyme inhibition comparator,chymotrypsin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2407,10.1021/ja901600e,bovine serum albumin,BSA,bovine,selectivity comparator protein,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2408,10.1021/ja901600e,kallikrein,,,enzyme inhibition comparator,kallikrein,38.0,4.3,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2409,10.1021/ja901600e,proteinase K,,,template removal enzyme,proteinase K,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2410,10.1021/acsnano.1c00353,bovine serum albumin,BSA,bovine,main protein hydrogel building block,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2411,10.1021/acsnano.1c00353,maltose binding protein,MBP,Escherichia coli expression host; N-terminal hexa-histidine tagged MBP,comparator protein hydrogel building block lacking disulphide bonds,maltose binding protein Escherichia coli,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2412,10.1016/j.colsurfa.2024.134224,lysozyme,,chicken egg white,"target protein, enzyme adsorbate, purification product",chicken egg white lysozyme Gallus gallus,14.4,11.0,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2413,10.1016/j.colsurfa.2024.134224,albumin,,egg white,competitor/contaminant protein in crude egg white extract,egg white albumin Gallus gallus,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2414,10.1016/j.colsurfa.2024.134224,conalbumin,,egg white,competitor/contaminant protein in crude egg white extract,conalbumin Gallus gallus,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2415,10.1016/j.colsurfa.2024.134224,bovine serum albumin,BSA,bovine,protein concentration assay standard,bovine serum albumin Bos taurus,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2416,10.1002/adhm.202201378,albumin,,,serum protein adsorbate discussed in results,albumin,65.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2417,10.1002/adhm.202201378,bovine serum albumin,BSA,bovine,experimental adsorbate,bovine serum albumin,65.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2418,10.1002/adhm.202201378,fibrinogen,,,experimental adsorbate and serum protein,fibrinogen,340.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2419,10.1002/anie.201404881,hen egg white lysozyme,lysozyme,hen egg white,target enzyme,hen egg white lysozyme,14.0,9.3,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2420,10.1002/app.40323,bovine serum albumin,BSA,bovine,template protein and target analyte for rebinding,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2421,10.1002/app.40323,bovine hemoglobin,Hb,bovine,non-template comparator protein,bovine hemoglobin,nan,6.5,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2422,10.1002/app.40323,Bacillus subtilis neutral proteinase,,Bacillus subtilis,enzyme used to remove template protein from imprinted membrane,Bacillus subtilis neutral proteinase,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2423,10.1016/j.cej.2026.177225,bovine serum albumin,BSA,bovine,representative protein for anti-protein evaluation,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2424,10.1016/j.cej.2026.177225,fluorescein isothiocyanate-labeled bovine serum albumin,FITC-BSA,bovine,fluorescent protein probe for adhesion visualization,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2425,10.1016/j.cej.2026.177225,human serum albumin,HSA,human,model protein for non-specific anti-protein adsorption properties,human serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2426,10.1002/adhm.202300695,tumor necrosis factor alpha,TNFα,recombinant human TNFα; human macrophage-secreted TNFα,target cytokine scavenged by antibody-functionalized microgels,human TNF alpha TNF,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2427,10.1002/adhm.202300695,TNFα antibody,IgG,"Amgevita Adalimumab, Amgen, Germany",immobilized affinity ligand inside microgels,adalimumab heavy chain light chain,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2428,10.1002/adhm.202300695,immunoglobulin G,IgG,therapeutic antibody; adalimumab,antibody class of immobilized TNFα antibody,immunoglobulin G,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2429,10.1002/adhm.202300695,interleukin 8,IL8,HT29 cell culture supernatant,biointerface inflammatory response marker,human IL8 CXCL8,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2430,10.1002/adhm.202300695,cyclooxygenase-II,COX II,HT29 cells,biointerface inflammatory response marker,human PTGS2 cyclooxygenase 2,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2431,10.1002/adhm.202300695,bovine serum albumin,BSA,bovine,protein quantification standard and ELISA blocking agent,bovine serum albumin ALB,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2432,10.1016/j.ijbiomac.2023.127004,Bovine serum albumin,BSA,bovine,protein target / model macromolecule,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2433,10.1002/pat.2057,bovine serum albumin,BSA,bovine,model protein for filtration and retention,bovine serum albumin,66.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2434,10.1002/pat.2057,lysozyme,LYS,chicken egg white,model protein for filtration and retention,chicken egg white lysozyme,14.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2435,10.1002/app.40946,bovine serum albumin,BSA,bovine,hydrogel backbone and control protein gel,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2436,10.1002/app.40946,trypsin,,,degradation enzyme,trypsin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2437,10.1016/j.actbio.2023.05.008,anti-HMGB1 monoclonal antibody,anti-HMGB1 mAB,"Sino Biological, Inc.",immunosuppressive antibody captured and released by mAB-spA Gel,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2438,10.1016/j.actbio.2023.05.008,high mobility group box 1 protein,HMGB1,,target antigen of anti-HMGB1 mAB,HMGB1,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2439,10.1016/j.actbio.2023.05.008,Staphylococcus aureus protein A,spA,Staphylococcus aureus,IgG Fc-binding affinity ligand conjugated to hydrogel,Staphylococcus aureus protein A,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2440,10.1016/j.actbio.2023.05.008,bovine serum albumin,BSA,bovine,nonspecific protein adsorption probe,bovine serum albumin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2441,10.1016/j.actbio.2023.05.008,collagen I,collagen I,rat tail,hydrogel comparator material,collagen alpha-1(I) chain rat,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2442,10.1016/j.actbio.2023.05.008,insulin,,,mass-transfer protein/hormone discussed for pore transport,insulin,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2443,10.1016/j.chroma.2018.07.027,lysozyme,,chicken egg white,model basic target protein,Gallus gallus lysozyme C,15.0,11.0,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2444,10.1016/j.chroma.2018.07.027,ovalbumin,,chicken egg white,contaminant protein for lysozyme purification,Gallus gallus ovalbumin,nan,4.5,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2445,10.1016/j.chroma.2018.07.027,rituximab,,therapeutic monoclonal antibody,target antibody,,144.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2446,10.1016/j.chroma.2018.07.027,bovine serum albumin,BSA,bovine,contaminant protein for rituximab purification,Bos taurus serum albumin,66.0,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
2447,10.1016/j.chroma.2018.07.027,hybridoma cell culture medium contaminants,,hybridoma-serum free medium,complex contaminant mixture,,nan,nan,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,False,
